name	taxRank	genomeSize	numReads	numUniqueReads	abundance
Stenotrophomonas maltophilia R551-3	leaf	4573969	56	50	0
Flavobacterium psychrophilum	species	2803807	54	0	0
Mycobacterium tuberculosis str. Beijing/NITR203	leaf	4411128	54	0	0
Propionibacterium acnes	species	2515790	50	27	0
Rhodococcus jostii RHA1	leaf	9702737	49	0	0
Corynebacterium aurimucosum ATCC 700975	leaf	2819226	46	32	0
Human papillomavirus type 32	leaf	7961	44	42	0
Rhodococcus opacus PD630	leaf	9169032	44	1	0
Acidovorax sp. RAC01	species	4574859	43	2	0
Corynebacterium diphtheriae	species	2469401	42	16	0
Rhodococcus opacus B4	leaf	8834939	41	1	0
Stenotrophomonas maltophilia	species	4684682	40	1	0
Rhodococcus sp. WMMA185	species	4444448	40	0	0
Asticcacaulis excentricus CB 48	leaf	4308776	39	1	0
Prevotella fusca JCM 17724	leaf	3261806	38	0	0
Hydrogenophaga sp. RAC07	species	4674684	38	38	0
Acidovorax sp. JS42	species	4585154	37	0	0
Acidovorax sp. KKS102	species	5196935	37	0	0
Acidovorax ebreus TPSY	leaf	3796573	37	0	0
Desulfitobacterium dichloroeliminans LMG P-21439	leaf	3624449	35	34	0
Corynebacterium imitans	species	2565321	33	32	0
Stenotrophomonas rhizophila	species	4198652	33	0	0
Stenotrophomonas sp. LM091	species	4317450	33	0	0
Conexibacter woesei DSM 14684	leaf	6359369	32	32	0
Corynebacterium falsenii DSM 44353	leaf	2719616	30	0	0
Corynebacterium ureicelerivorans	species	2328278	29	27	0
Acinetobacter baumannii	species	3994952	28	0	0
Staphylococcus haemolyticus	species	2697861	28	0	0
Staphylococcus haemolyticus JCSC1435	leaf	2697861	28	0	0
Brevundimonas sp. GW460-12-10-14-LB2	species	3263775	28	27	0
Enterococcus faecium	species	2979896	27	27	0
Simbu virus	species	12172	27	14	0
Caulobacter crescentus CB15	leaf	4016947	27	0	0
Caulobacter crescentus NA1000	leaf	4042929	27	0	0
Ralstonia solanacearum	species	5652444	26	0	0
Corynebacterium pseudotuberculosis	species	2333432	26	0	0
Corynebacterium ulcerans	species	2534616	26	0	0
Corynebacterium resistens DSM 45100	leaf	2601311	26	0	0
Corynebacterium sp. NML98-0116	species	2365449	25	24	0
Rhodococcus sp. PBTS 2	species	5316948	24	7	0
Hydrogenophaga sp. LPB0072	species	4944132	24	24	0
Human papillomavirus type 53	leaf	7856	23	21	0
Lactobacillus amylovorus GRL1118	leaf	1977087	23	0	0
Lactobacillus acidophilus 30SC	leaf	2097766	23	0	0
Propionibacterium acnes subsp. defendens ATCC 11828	leaf	2488626	23	0	0
Frondihabitans sp. PAMC 28766	species	4766863	23	23	0
Corynebacterium singulare	species	2830519	21	3	0
Caulobacter segnis ATCC 21756	leaf	4655622	21	1	0
Arachidicoccus sp. BS20	species	3492500	21	1	0
Caulobacter henricii	species	3957288	20	0	0
Chitinophaga pinensis DSM 2588	leaf	9127347	20	0	0
Phenylobacterium zucineum HLK1	leaf	4379231	19	0	0
Bacillus cereus biovar anthracis str. CI	leaf	5486649	19	19	0
Human papillomavirus type 129	species	7219	19	18	0
Hyphomicrobium nitrativorans NL23	leaf	3653837	18	18	0
Streptomyces reticuli	species	9336224	17	1	0
Corynebacterium simulans	species	5336673	17	0	0
Ketogulonicigenium vulgare	species	3282752	16	12	0
Aerococcus sanguinicola	species	2033849	15	15	0
Corynebacterium camporealensis	species	2451810	15	1	0
Pediococcus acidilactici	species	2131361	14	0	0
Pediococcus pentosaceus	species	1810762	14	0	0
Lactobacillus	genus	2506241	14	0	0
Vagococcus teuberi	species	2184285	14	0	0
Nocardia	genus	7567967	13	0	0
Human papillomavirus type 10	leaf	7919	13	10	0
Ralstonia pickettii	species	6378979	12	0	0
Aeromicrobium erythreum	species	3629239	12	1	0
Methanobacterium formicicum	species	7422571	12	0	0
Acinetobacter johnsonii XBB1	leaf	4081329	12	0	0
Acinetobacter sp. TTH0-4	species	2962453	12	0	0
Shamonda virus	species	12104	11	6	0
Nocardioides dokdonensis	species	4376707	11	0	0
Ralstonia solanacearum PSI07	leaf	5605618	11	0	0
Canis familiaris papillomavirus 6	leaf	8242	11	10	0
Bradyrhizobium	genus	11894480	10	0	0
Rhodopseudomonas palustris	species	5408501	10	0	0
Oligotropha carboxidovorans	species	5740737	10	0	0
Roseateles depolymerans	species	5681722	10	0	0
Brevundimonas subvibrioides ATCC 15264	leaf	3445263	10	9	0
Thermus	genus	2279019	9	0	0
Human papillomavirus type 6b	leaf	7902	9	9	0
Marinithermus hydrothermalis	species	2269167	9	0	0
Human papillomavirus type 90	leaf	8033	9	9	0
Rhodoferax ferrireducens T118	leaf	4969784	9	0	0
Fermentimonas caenicola	species	2808926	9	0	0
Petrimonas mucosa	species	3717632	9	0	0
Mitsuaria sp. 7	species	6085092	9	0	0
Porphyromonas gingivalis	species	2339774	8	8	0
Comamonadaceae	family	5402391	8	1	0
Oscillatoria nigro-viridis PCC 7112	leaf	8272254	8	7	0
Frankia inefficax	species	8815781	8	0	0
Acidovorax citrulli AAC00-1	leaf	5352772	8	0	0
Bacillus thuringiensis str. Al Hakam	leaf	10989993	8	7	0
[Polyangium] brachysporum	species	6476147	8	2	0
Actinosynnema mirum DSM 43827	leaf	8248144	8	2	0
Acidovorax avenae subsp. avenae ATCC 19860	leaf	5482170	8	0	0
Ottowia sp. oral taxon 894	species	2925783	8	8	0
Clostridioides difficile	species	5577074	7	1	0
Moraxella osloensis	species	2649137	7	7	0
Nocardia nova	species	8348532	7	0	0
Actinosynnema mirum	species	8248144	7	0	0
Roseateles	genus	0	7	0	0
Saccharothrix espanaensis	species	9360653	7	0	0
Kribbella flavida	species	7579488	7	0	0
Mesorhizobium loti MAFF303099	leaf	7596297	7	0	0
Paracoccus denitrificans PD1222	leaf	5236194	7	1	0
Exiguobacterium sp. AT1b	species	2999895	7	7	0
Micrococcus luteus NCTC 2665	leaf	2501097	7	7	0
Corynebacterium urealyticum DSM 7109	leaf	2369219	7	3	0
Mesorhizobium opportunistum WSM2075	leaf	6884444	7	0	0
Mesorhizobium australicum WSM2073	leaf	6200534	7	0	0
Mesorhizobium loti NZP2037	leaf	7481739	7	0	0
Mesorhizobium amorphae CCNWGS0123	leaf	7343952	7	0	0
Lentzea sp. DHS C013	species	9997872	7	1	0
Clostridium butyricum	species	13843423	6	0	0
Alphapapillomavirus 12	species	8028	6	6	0
Sphingopyxis macrogoltabida	species	16800329	6	6	0
Legionella pneumophila subsp. pascullei	subspecies	10220641	6	0	0
Clostridioides difficile 630	leaf	8572939	6	0	0
Alphapapillomavirus 4	species	7860	6	6	0
Human papillomavirus type 103	leaf	7263	6	6	0
Choristoneura occidentalis granulovirus	species	104710	6	4	0
Shewanella baltica OS223	leaf	5358884	6	6	0
Alteromonas australica	species	8766305	6	2	0
Leuconostoc gelidum subsp. gasicomitatum LMG 18811	leaf	1954080	6	6	0
Thiolapillus brandeum	species	3153637	6	6	0
Candidatus Endolissoclinum faulkneri L2	leaf	1481191	6	6	0
Acinetobacter sp. NCu2D-2	species	3048277	6	5	0
Anabaena sp. wa102	species	5782034	6	6	0
Methylophilus sp. TWE2	species	3079044	6	5	0
Pseudomonas aeruginosa	species	6506218	5	2	0
Pseudomonas putida	species	6146834	5	2	0
Staphylococcus schleiferi	species	12494798	5	0	0
Bacillus subtilis	species	5309360	5	0	0
Bacillus thuringiensis	species	6849293	5	0	0
Leifsonia xyli	species	2635288	5	0	0
Lactobacillus helveticus	species	2095920	5	0	0
Mycobacterium tuberculosis	species	4956632	5	0	0
Gordonia	genus	5567155	5	0	0
Tsukamurella paurometabola	species	4479724	5	0	0
Microbacterium	genus	3982034	5	0	0
Vibrio scophthalmi	species	9728927	5	5	0
Acinetobacter pittii	species	3862530	5	4	0
Lactobacillus gallinarum	species	2374782	5	0	0
Delftia	genus	6767514	5	0	0
Streptomyces parvulus	species	7766531	5	3	0
Methanocaldococcus	genus	1584277	5	1	0
Cyanobium gracile PCC 6307	leaf	3342364	5	3	0
Serratia plymuthica 4Rx13	leaf	5403731	5	5	0
Paenibacillus larvae subsp. larvae DSM 25430	leaf	4056006	5	5	0
Desulfosporosinus orientis DSM 765	leaf	5863081	5	5	0
Flavobacteriaceae bacterium UJ101	species	3074209	5	2	0
Variovorax sp. PAMC 28711	species	4316152	5	0	0
Helicobacter pylori	species	1704012	4	1	0
Bacillus sp.	species	4233615	4	0	0
Acidovorax	genus	4877171	4	0	0
Variovorax paradoxus	species	6817856	4	0	0
Streptomyces venezuelae	species	18089227	4	1	0
Delftia acidovorans	species	6767514	4	0	0
Mycobacterium immunogenum	species	11178626	4	0	0
Ralstonia mannitolilytica	species	9915295	4	0	0
Actinoplanes sp. SE50/110	species	9239851	4	2	0
Bradyrhizobium diazoefficiens USDA 110	leaf	18211892	4	0	0
Lactobacillus gasseri ATCC 33323 = JCM 1131	leaf	1894360	4	1	0
Escherichia phage V5	leaf	137947	4	0	0
Pseudonocardia sp. AL041005-10	species	6143341	4	1	0
Kocuria flava	species	3638342	4	3	0
Thermococcus litoralis DSM 5473	leaf	2215172	4	4	0
Anaerococcus prevotii DSM 20548	leaf	1998633	4	4	0
Pseudomonas chlororaphis	species	6702062	4	2	0
Brevundimonas naejangsanensis	species	2971535	4	4	0
Streptomyces scabiei 87.22	leaf	10148695	4	4	0
Corynebacterium diphtheriae PW8	leaf	2530683	4	4	0
Corynebacterium variabile DSM 44702	leaf	3433007	4	4	0
Human papillomavirus type 126	leaf	7326	4	4	0
Leptolyngbya sp. O-77	species	5480261	4	4	0
Pseudomonas protegens CHA0	leaf	6867980	4	4	0
Dehalococcoides mccartyi BTF08	leaf	1452335	4	4	0
Corynebacterium urealyticum DSM 7111	leaf	2316065	4	0	0
Escherichia phage JES2013	leaf	136910	4	0	0
Paracoccus aminophilus JCM 7686	leaf	4873118	4	0	0
Escherichia phage FFH2	leaf	139020	4	0	0
Burkholderia sp. HB1	species	7206167	4	4	0
Pseudonocardia sp. HH130630-07	species	6680451	4	1	0
Escherichia phage slur16	species	136896	4	0	0
Shewanella	genus	5140018	3	3	0
Escherichia coli	species	7253110	3	0	0
Enterococcus faecalis	species	2996992	3	0	0
Clostridium botulinum	species	4204997	3	3	0
Mycobacterium smegmatis	species	20964686	3	0	0
Thermofilum	genus	1783791	3	0	0
Human papillomavirus type 4	leaf	7353	3	3	0
Lactobacillus johnsonii	species	1907846	3	0	0
Nocardia seriolae	species	8304518	3	0	0
Streptomyces pristinaespiralis	species	8532592	3	3	0
Human papillomavirus type 50	leaf	7184	3	3	0
Pseudoalteromonas luteoviolacea	species	18666577	3	0	0
Pseudomonas citronellolis	species	14631203	3	0	0
Lysobacter antibioticus	species	11681564	3	0	0
Human endogenous retrovirus K113	leaf	9472	3	0	0
Mycobacterium smegmatis str. MC2 155	leaf	20964686	3	0	0
Flavonifractor plautii	species	3818500	3	1	0
Enterobacter hormaechei subsp. oharae	subspecies	14941448	3	0	0
Synechococcus sp. JA-2-3B'a(2-13)	species	3046682	3	3	0
Nitrosopumilus	genus	0	3	0	0
Psychrobacter sp. PRwf-1	species	2995049	3	3	0
Acidiphilium cryptum JF-5	leaf	3963080	3	0	0
Methylobacterium populi BJ001	leaf	5848997	3	1	0
Cellulomonas flavigena DSM 20109	leaf	4123179	3	2	0
Desulfovibrio salexigens DSM 2638	leaf	4289847	3	1	0
Cellulomonas fimi ATCC 484	leaf	4266344	3	3	0
Desulfovibrio aespoeensis Aspo-2	leaf	3629109	3	1	0
Clostridioides difficile CD196	leaf	4110554	3	0	0
Streptomyces violaceusniger Tu 4113	leaf	11138313	3	2	0
Pantoea ananatis LMG 20103	leaf	4703373	3	3	0
Thioalkalivibrio paradoxus ARh 1	leaf	3756729	3	3	0
Thioflavicoccus mobilis 8321	leaf	4137521	3	0	0
Streptococcus anginosus C238	leaf	2233640	3	0	0
Anaerobaculum mobile DSM 13181	leaf	2160700	3	3	0
Human papillomavirus type 131	leaf	7182	3	2	0
Acidiphilium multivorum AIU301	leaf	4214744	3	0	0
Saimiri sciureus papillomavirus 1	leaf	7596	3	3	0
Streptomyces cattleya NRRL 8057 = DSM 46488	leaf	16188068	3	1	0
Buchnera aphidicola str. Ua (Uroleucon ambrosiae)	leaf	627953	3	2	0
Corallococcus coralloides DSM 2259	leaf	10080619	3	2	0
Streptococcus sp. I-G2	species	1992567	3	0	0
Streptococcus sp. I-P16	species	2023580	3	0	0
Streptomyces globisporus C-1027	leaf	7783599	3	3	0
Microcoleus sp. PCC 7113	species	7966510	3	2	0
Granulicella tundricola MP5ACTX9	leaf	5503984	3	2	0
Burkholderia thailandensis 34	leaf	7120198	3	1	0
Myxococcus stipitatus DSM 14675	leaf	10350586	3	2	0
Fusobacterium hwasookii ChDC F300	leaf	2527063	3	0	0
Corynebacterium lactis RW2-5	leaf	2769745	3	1	0
Nocardia nova SH22a	leaf	8348532	3	0	0
Methanosarcina sp. WWM596	species	4137337	3	3	0
Streptomyces leeuwenhoekii	species	8122491	3	0	0
Pseudomonas sp. MRSN12121	species	6986763	3	1	0
Geminocystis sp. NIES-3709	species	4426059	3	3	0
Lutibacter sp. LP1	species	2966978	3	3	0
Streptomyces sp. S10(2016)	species	9083372	3	2	0
Archangium gephyra	species	12489432	2	2	0
Pseudomonas	genus	6119631	2	0	0
Burkholderia cepacia	species	7851492	2	1	0
Pseudomonas fluorescens	species	6526868	2	1	0
Pseudomonas stutzeri	species	4548207	2	0	0
Xanthomonas campestris pv. campestris	leaf	14898506	2	0	0
Bradyrhizobium japonicum	species	9207384	2	0	0
Bradyrhizobium sp.	species	7547693	2	2	0
Serratia liquefaciens	species	5282719	2	0	0
Shigella	genus	4815334	2	0	0
Vibrio mimicus	species	8922704	2	0	0
Bacteroides fragilis	species	5308603	2	2	0
Flavobacterium columnare	species	3162432	2	2	0
Blastochloris viridis	species	11174693	2	0	0
Piscirickettsia salmonis	species	3450064	2	2	0
Leuconostoc lactis	species	1788069	2	2	0
Bacillus cereus	species	6217228	2	0	0
Bacillus coagulans	species	3330766	2	0	0
Bacillus pumilus	species	3704641	2	1	0
Bacillus atrophaeus	species	4168266	2	0	0
Clostridium estertheticum subsp. estertheticum	subspecies	4785613	2	2	0
Lactobacillus delbrueckii subsp. bulgaricus	subspecies	1875071	2	0	0
Listeria monocytogenes	species	3045735	2	0	0
Erysipelothrix rhusiopathiae	species	1770425	2	0	0
Saccharopolyspora erythraea	species	8212805	2	0	0
Streptomyces lincolnensis	species	10319054	2	1	0
Methanotorris igneus	species	1854197	2	0	0
Desulfurococcus	genus	1354659	2	0	0
Pyrodictiaceae	family	1755215	2	0	0
Human papillomavirus	species	7320	2	2	0
Human papillomavirus type 49	leaf	7560	2	2	0
Acholeplasma oculi	species	1587120	2	2	0
Rhodovulum sulfidophilum	species	4347929	2	2	0
Ureaplasma parvum serovar 3	leaf	727289	2	2	0
Streptomyces sampsonii	species	7070328	2	2	0
Methanococcus aeolicus	species	1569500	2	0	0
Burkholderia pyrrocinia	species	7961346	2	1	0
Streptomyces albulus	species	9784577	2	0	0
Xanthobacter autotrophicus Py2	leaf	5625098	2	1	0
Acidovorax avenae	species	5482170	2	0	0
Bordetella hinzii	species	9772861	2	0	0
Thermofilaceae	family	1783791	2	0	0
Desulfurococcales	order	1469569	2	0	0
Desulfitobacterium hafniense Y51	leaf	5727534	2	1	0
Methanothermococcus okinawensis	species	1677455	2	0	0
Agrobacterium fabrum str. C58	leaf	5674258	2	2	0
Mycobacterium sp. JS623	species	7221766	2	2	0
Klebsiella variicola	species	5458505	2	0	0
Lactobacillus johnsonii NCC 533	leaf	1992676	2	0	0
Thermus thermophilus HB27	leaf	2127482	2	0	0
Streptomyces hygroscopicus subsp. limoneus	subspecies	10537932	2	0	0
Rubrobacter xylanophilus DSM 9941	leaf	3225748	2	1	0
Cupriavidus metallidurans CH34	leaf	6913352	2	2	0
Methylobacterium extorquens AM1	leaf	6879778	2	0	0
Segniliparus rotundus	species	3157527	2	0	0
Chlorobium phaeovibrioides DSM 265	leaf	1966858	2	1	0
Methanobrevibacter olleyae	species	2201192	2	2	0
Coprothermobacter proteolyticus DSM 5265	leaf	1424912	2	2	0
Vibrio fischeri ES114	leaf	4273718	2	2	0
Beggiatoa leptomitiformis	species	4265296	2	2	0
Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365	leaf	1856951	2	0	0
Frankia alni ACN14a	leaf	7497934	2	2	0
Pseudoalteromonas haloplanktis TAC125	leaf	3850272	2	0	0
Human papillomavirus type 5	leaf	7746	2	2	0
Nitrosopumilaceae	family	0	2	0	0
Lactobacillus delbrueckii subsp. bulgaricus 2038	leaf	1872918	2	0	0
Caulobacter sp. K31	species	5889399	2	1	0
Salinispora tropica CNB-440	leaf	5183331	2	2	0
Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002	leaf	1864998	2	0	0
Burkholderia multivorans ATCC 17616	leaf	14017432	2	0	0
Methylobacterium sp. 4-46	species	7737025	2	2	0
Pedobacter steynii	species	6581659	2	2	0
Azorhizobium caulinodans ORS 571	leaf	5369772	2	2	0
Sanguibacter keddieii DSM 10542	leaf	4253413	2	2	0
Streptomyces griseus subsp. griseus NBRC 13350	leaf	8545929	2	2	0
Canine papillomavirus 4	leaf	7742	2	2	0
Streptomyces cyaneogriseus subsp. noncyanogenus	subspecies	7762396	2	0	0
Modestobacter marinus	species	5575517	2	1	0
Catenulispora acidiphila DSM 44928	leaf	10467782	2	0	0
Myxococcus fulvus HW-1	leaf	9003593	2	1	0
Sphingobium sp. YBL2	species	5427419	2	1	0
Desulfohalobium retbaense DSM 5692	leaf	2909567	2	0	0
Burkholderia latens	species	6614478	2	1	0
Burkholderia seminalis	species	7648944	2	0	0
Anoxybacillus flavithermus WK1	leaf	2846746	2	1	0
Actinoplanes missouriensis 431	leaf	8773466	2	2	0
Variovorax paradoxus S110	leaf	6754997	2	1	0
Bacillus megaterium QM B1551	leaf	5523192	2	2	0
Vulcanisaeta distributa DSM 14429	leaf	2374137	2	2	0
Sediminispirochaeta smaragdinae DSM 11293	leaf	4653970	2	1	0
Zymomonas mobilis subsp. pomaceae ATCC 29192	leaf	2061413	2	1	0
Sideroxydans lithotrophicus ES-1	leaf	3003656	2	2	0
Sphingomonas melonis TY	leaf	4196755	2	1	0
Bacillus beveridgei	species	3582268	2	2	0
Lactobacillus johnsonii FI9785	leaf	1785116	2	0	0
Arthrobacter alpinus	species	8380101	2	1	0
Methylobacterium extorquens DM4	leaf	6123851	2	0	0
Pseudonocardia dioxanivorans CB1190	leaf	7303989	2	2	0
Comamonas testosteroni CNB-2	leaf	5373644	2	0	0
Cellulophaga algicola DSM 14237	leaf	4888353	2	2	0
Sphingobium chlorophenolicum L-1	leaf	4573221	2	1	0
Archaeoglobus veneficus SNP6	leaf	1901943	2	2	0
Enterobacter lignolyticus SCF1	leaf	4814049	2	2	0
Amycolatopsis mediterranei S699	leaf	20483699	2	0	0
Bacillus atrophaeus 1942	leaf	4168266	2	0	0
Thermus thermophilus SG0.5JP17-16	leaf	2303227	2	0	0
Lactobacillus delbrueckii subsp. bulgaricus ND02	leaf	2131976	2	0	0
Kibdelosporangium phytohabitans	species	11759770	2	1	0
Agrobacterium sp. H13-3	species	5573770	2	1	0
Streptomyces sp. SirexAA-E	species	7414440	2	1	0
Chryseobacterium sp. StRB126	species	5503743	2	1	0
Terriglobus roseus DSM 18391	leaf	5227858	2	1	0
Arcobacter butzleri ED-1	leaf	2256675	2	0	0
Burkholderia cepacia ATCC 25416	leaf	8605945	2	1	0
Camelus dromedarius papillomavirus type 2	species	7906	2	2	0
Paenibacillus mucilaginosus K02	leaf	8819200	2	0	0
Arcobacter butzleri 7h1h	leaf	2253233	2	0	0
Bradyrhizobium japonicum USDA 6	leaf	9207384	2	0	0
Human papillomavirus type 136	species	7319	2	2	0
Pelagibacterium halotolerans B2	leaf	3948887	2	1	0
Canine papillomavirus 10	species	7774	2	2	0
Streptomyces hygroscopicus subsp. jinggangensis 5008	leaf	10383684	2	0	0
Leuconostoc gelidum subsp. gasicomitatum KG16-1	leaf	2050732	2	2	0
Saccharothrix espanaensis DSM 44229	leaf	9360653	2	1	0
Comamonas testosteroni P19	leaf	5649348	2	0	0
Streptomyces hygroscopicus subsp. jinggangensis TL01	leaf	10077952	2	0	0
Enterococcus faecalis D32	leaf	3062505	2	0	0
Burkholderia thailandensis MSMB59	leaf	6739500	2	0	0
Sorangium cellulosum So0157-2	leaf	14782125	2	0	0
Streptomyces sp. 769	species	10338286	2	1	0
Herbaspirillum hiltneri N3	leaf	4965474	2	2	0
Pseudoalteromonas translucida KMM 520	leaf	4147593	2	0	0
Clostridium autoethanogenum DSM 10061	leaf	8704651	2	0	0
Aureimonas sp. AU20	species	5210858	2	2	0
Streptococcus anginosus subsp. whileyi MAS624	leaf	2122284	2	0	0
Lactobacillus johnsonii N6.2	leaf	1887251	2	0	0
Clostridium botulinum CDC_1436	leaf	4365669	2	2	0
Streptomyces albulus ZPM	leaf	9784577	2	0	0
Hymenobacter sp. PAMC 26628	species	5366977	2	1	0
Corynebacterium sp. ATCC 6931	species	2471920	2	0	0
Flavobacterium gilvum	species	4402594	2	2	0
Brevundimonas sp. DS20	species	3475610	2	1	0
Candidatus Izimaplasma sp. HR1	species	1878735	2	2	0
Mycobacterium sp. QIA-37	species	4855372	2	2	0
Methanobrevibacter sp. YE315	species	2273296	2	2	0
Proteus phage vB_PmiM_Pm5461	species	161989	2	2	0
Alloactinosynnema sp. L-07	species	7405112	2	1	0
Arsenicicoccus sp. oral taxon 190	species	3525271	2	1	0
Massilia sp. WG5	species	6267305	2	0	0
Microbacterium sp. No. 7	species	4827965	2	2	0
Desulfovibrio sp. J2	species	3966573	2	0	0
Chryseobacterium sp. IHB B 17019	species	4077766	2	2	0
Kurthia sp. 11kri321	species	2964527	2	1	0
Nostoc sp. NIES-3756	species	6987571	2	1	0
Serinicoccus sp. JLT9	species	3597394	2	0	0
Flavobacterium sp. LPB0076	species	3027315	2	2	0
Blautia sp. YL58	species	5128792	2	2	0
Desulfuromonas sp. DDH964	species	3924652	2	1	0
Erysipelotrichaceae bacterium I46	species	4468295	2	2	0
Streptomyces sp. RTd22	species	11142275	2	2	0
Streptomyces sp. SAT1	species	7472530	2	2	0
Chondromyces crocatus	species	11388132	1	0	0
Leptospira interrogans	species	5395453	1	0	0
Azospirillum brasilense	species	13978806	1	1	0
Campylobacter jejuni	species	2513821	1	1	0
Francisella tularensis	species	2819748	1	1	0
Xanthomonas	genus	12262561	1	0	0
Rhizobiales	order	5103979	1	0	0
Agrobacterium tumefaciens	species	7273300	1	0	0
Rhizobium	genus	6989816	1	1	0
Acetobacteraceae	family	3448638	1	0	0
Enterobacteriaceae	family	6578171	1	0	0
Citrobacter freundii	species	5371331	1	1	0
Enterobacter cloacae	species	5160721	1	0	0
Klebsiella pneumoniae	species	8447597	1	1	0
Morganella morganii	species	3799539	1	0	0
Providencia rettgeri	species	4889093	1	1	0
Serratia marcescens	species	5135686	1	1	0
Yersinia enterocolitica	species	4717877	1	0	0
Vibrio vulnificus	species	5131516	1	0	0
Grimontia hollisae	species	3998273	1	1	0
Bacteroides thetaiotaomicron	species	6293399	1	0	0
Prevotella	genus	3073878	1	1	0
Synechococcus	genus	2719262	1	0	0
Staphylococcus aureus	species	4189009	1	1	0
Streptococcus agalactiae	species	2078995	1	0	0
Streptococcus anginosus	species	2089210	1	0	0
Enterococcus gallinarum	species	3821349	1	1	0
Bacillus anthracis	species	5935455	1	0	0
Lysinibacillus sphaericus	species	14371778	1	0	0
Lactobacillus delbrueckii	species	1920382	1	0	0
Bifidobacterium bifidum	species	2209060	1	0	0
Bifidobacterium angulatum	species	2021974	1	0	0
Bifidobacterium breve	species	2317134	1	0	0
Mycobacterium bovis	species	5455659	1	0	0
Mycobacterium marinum	species	6555333	1	0	0
Streptomyces	genus	9480870	1	0	0
Streptomyces albus	species	6841649	1	0	0
Streptomyces ambofaciens	species	8393598	1	0	0
Streptomyces clavuligerus	species	7590758	1	1	0
Nocardiopsis	genus	6195761	1	0	0
Nocardiopsis dassonvillei	species	6543312	1	0	0
Microbacterium testaceum	species	3982034	1	0	0
Pseudonocardiaceae	family	9499602	1	0	0
Mycoplasma mycoides	species	2100167	1	1	0
Methanobacteriaceae	family	1989655	1	0	0
Methanothermus	genus	1243342	1	0	0
Methanococcus	genus	1742462	1	0	0
Desulfurococcaceae	family	1398157	1	0	0
Xylella fastidiosa	species	2609554	1	0	0
Primates	order	0	1	0	0
Homo	genus	0	1	0	0
Iotapapillomavirus 1	species	7687	1	1	0
Kappapapillomavirus 2	species	7868	1	1	0
Bovine viral diarrhea virus 1	species	12573	1	0	0
Cucumber mosaic virus	species	8623	1	0	0
Alteromonas macleodii	species	4602757	1	1	0
Francisella philomiragia	species	2033555	1	0	0
Prevotella intermedia	species	2699437	1	1	0
Leptospira alstonii	species	4591888	1	1	0
Nitrosopumilales	order	0	1	0	0
Burkholderia	genus	7695944	1	1	0
Campylobacter fetus subsp. venerealis	subspecies	1930368	1	0	0
Cutibacterium avidum	species	2526138	1	0	0
Paracoccus aminophilus	species	4873118	1	0	0
Desulfitobacterium	genus	4425788	1	0	0
Sinomonas atrocyanea	species	4492204	1	1	0
Stenotrophomonas	genus	4684682	1	0	0
Human papillomavirus type 60	leaf	7313	1	1	0
Rubrobacter radiotolerans	species	3267233	1	0	0
Pseudomonas alcaligenes	species	4406305	1	0	0
Nitrosomonas ureae	species	3307820	1	1	0
Streptomyces lydicus	species	9300149	1	1	0
Ralstonia	genus	5963816	1	0	0
Raoultella ornithinolytica	species	5398151	1	1	0
Dehalobacter restrictus	species	2943336	1	0	0
Burkholderia thailandensis	species	6739614	1	0	0
